"","ACCIDENT_N","ID","LOCATION","DISTANCE","DIRECTION","DATE","TIME","COLL_TYPE","INVOLVED","EXTENT","TRAVERSE","REPNO","PCF","LIGHTING","NUMO_INJ","NUMO_KLD","PARTY1","PARTY2","DOT1","DOT2","MPC1","MPC2","HIGHLIGHT","X","Y","DOCUMENT","MILEPOST","LAT","LONG","x","y","lat","lon","coords.x1","coords.x2"
"18",7337083000221,0,"Golden Gate Ave at Buchanan St","14","West","2/2/2000","08:30 AM","Other","Bicycle","Other Visible Injury",NA,NA,"Other Hazardous Movement","Daylight","1","0","Driver","Bicyclist","East","East","Stopped in Road","Proceeding Straight",NA,6004304.13647,2112213.04997,NA,NA,NA,NA,6004304.13647,2112213.04997,-122.42871290507,37.7799777762471,6004304.13647356,2112213.04996551
"19",7337161501033,0,"18th St at Bryant St","0","Not Stated","2/2/2000","04:15 PM","Other","Bicycle","Severe Injury",NA,NA,"Traffic Signals and Signs","Daylight","1","0","Bicyclist","Driver","South","West","Proceeding Straight","Proceeding Straight",NA,6009542,2105471,NA,NA,NA,NA,6009542,2105471,-122.410116595827,37.7617607207253,6009542,2105471
"20",7338104500654,0,"Brannan St at 8th St","175","West","2/3/2000","10:45 AM","Other","Bicycle","Complaint of Pain",NA,NA,"Auto R/W Violation","Daylight","1","0","Driver","Bicyclist","North","East","Entering Traffic","Proceeding Straight",NA,6010842.29908,2108794.28608,NA,NA,NA,NA,6010842.29908,2108794.28608,-122.405853465285,37.770958505809,6010842.2990812,2108794.28607767
"21",7338174001241,0,"9th St at Bryant St","332","South","2/3/2000","05:40 PM","Other","Bicycle","Complaint of Pain",NA,NA,"Improper Passing","Dusk - Dawn","1","0","Driver","Bicyclist","North","North","Passing Other Vehicle","Not Stated",NA,6010298.29535,2108689.00656,NA,NA,NA,NA,6010298.29535,2108689.00656,-122.407727773639,37.7706389939978,6010298.29535248,2108689.00656468
"22",7340153000469,0,"26th St at Florida St","0","Not Stated","2/5/2000","03:30 PM","Other","Bicycle","Other Visible Injury",NA,NA,"Traffic Signals and Signs","Daylight","1","0","Bicyclist","Driver","North","East","Proceeding Straight","Proceeding Straight",NA,6009554,2101022,NA,NA,NA,NA,6009554,2101022,-122.409761043547,37.7495454383439,6009554,2101022
"23",7343053000812,0,"Mission St at 18th St","126","South","2/8/2000","05:30 AM","Other","Bicycle","Other Visible Injury",NA,NA,"Other Hazardous Movement","Dark - Street Lights","1","0","Driver","Bicyclist","North","North","Other","Proceeding Straight",NA,6006878.10852,2105427.20068,NA,NA,NA,NA,6006878.10852,2105427.20068,-122.41932684268,37.7614907859562,6006878.10852322,2105427.20068006
"24",7343093500962,0,"Polk St at Grove St","30","South","2/8/2000","09:35 AM","Other","Bicycle","Other Visible Injury",NA,NA,"Unsafe Speed","Daylight","1","0","Driver","Bicyclist","South","South","Proceeding Straight","Proceeding Straight",NA,6007326.46864,2111579.2012,NA,NA,NA,NA,6007326.46864,2111579.2012,-122.418212327734,37.7784079678203,6007326.46864345,2111579.20119948
"25",7343143300080,0,"Market St at Charles J Brenham Pl","68","East","2/8/2000","02:33 PM","Other","Bicycle","Other Visible Injury",NA,NA,"Improper Passing","Daylight","1","0","Bicyclist","Driver","West","West","Passing Other Vehicle","Stopped in Road",NA,6009038.15991,2112345.98194,NA,NA,NA,NA,6009038.15991,2112345.98194,-122.412345135675,37.7806095640971,6009038.15991334,2112345.98194249
"26",7343160001841,0,"Santa Fe Ave at Silver Ave","6","East","2/8/2000","04:00 PM","Other","Bicycle","Complaint of Pain",NA,NA,"Ped R/W Violation","Daylight","1","0","Driver","Bicyclist","West","South","Proceeding Straight","Proceeding Straight",NA,6011820.62022,2095631.21523,NA,NA,NA,NA,6011820.62022,2095631.21523,-122.401544124047,37.7348702547438,6011820.62022094,2095631.21523247
"27",7345223799999,0,"Monterey Blvd at Ridgewood Ave","0","Not Stated","2/10/2000","10:37 PM","Other","Bicycle","Property Damage Only",NA,NA,"Traffic Signals and Signs","Dark - Street Lights","0","0","Bicyclist","Driver","North","West","Making Left Turn","Stopped in Road",NA,5996800,2094724,NA,NA,NA,NA,5996800,2094724,-122.453409884832,37.731529679939,5996800,2094724
"28",7346155402177,0,"4th St at Mission St","0","Not Stated","2/11/2000","03:54 PM","Other","Bicycle","Complaint of Pain",NA,NA,"Other Hazardous Movement","Daylight","1","0","Bicyclist","Driver","South","West","Proceeding Straight","Proceeding Straight",NA,6011401,2113707,NA,NA,NA,NA,6011401,2113707,-122.404266719817,37.7844789097002,6011401,2113707
"29",7347124000318,0,"Folsom St at 17th St","207","South","2/12/2000","12:40 PM","Other","Bicycle","Complaint of Pain",NA,NA,"Pedestrian Violation","Daylight","1","0","Pedestrian","Bicyclist","West","North","Not Applicable - Ped","Proceeding Straight",NA,6008112.05156,2105999.35112,NA,NA,NA,NA,6008112.05156,2105999.35112,-122.415099630107,37.763131198112,6008112.05156421,2105999.35111953
"30",7348024500603,0,"18th St at Guerrero St","130","West","2/13/2000","02:45 AM","Other","Bicycle","Complaint of Pain",NA,NA,"Other Hazardous Movement","Dark - Street Lights","1","0","Driver","Bicyclist","West","West","Stopped in Road","Proceeding Straight",NA,6005456.20582,2105473.68765,NA,NA,NA,NA,6005456.20582,2105473.68765,-122.424247928644,37.7615382432754,6005456.20581845,2105473.68765174
"31",7350092000315,0,"Division St at Vermont St","100","West","2/15/2000","09:20 AM","Other","Bicycle","Complaint of Pain",NA,NA,"Improper Turning","Daylight","1","0","Driver","Bicyclist","West","West","Making Right Turn","Proceeding Straight",NA,6010983.12934,2108330.91568,NA,NA,NA,NA,6010983.12934,2108330.91568,-122.405333690034,37.7696940716643,6010983.12933543,2108330.91567526
"32",7350095000028,0,"Junipero Serra Blvd at Font Blvd","0","Not Stated","2/15/2000","09:50 AM","Other","Bicycle","Other Visible Injury",NA,NA,"Auto R/W Violation","Daylight","1","0","Bicyclist","Driver","North","South","Proceeding Straight","Proceeding Straight",NA,5991410,2088515,NA,NA,NA,NA,5991410,2088515,-122.471591689976,37.7141708678471,5991410,2088515
"33",7351172801796,0,"8th St at Brannan St","0","Not Stated","2/16/2000","05:28 PM","Other","Bicycle","Other Visible Injury",NA,NA,"Improper Turning","Daylight","1","0","Driver","Bicyclist","South","South","Making Right Turn","Proceeding Straight",NA,6010969,2108915,NA,NA,NA,NA,6010969,2108915,-122.405423703729,37.7712970435149,6010969,2108915
"34",7352201000642,0,"Scott St at Haight St","57","North","2/17/2000","08:10 PM","Other","Bicycle","Other Visible Injury",NA,NA,"Unsafe Speed","Dark - Street Lights","1","0","Bicyclist","Parked Vehicle","North","Not Stated","Proceeding Straight","Parked",NA,6002308.1003,2109215.44993,NA,NA,NA,NA,6002308.1003,2109215.44993,-122.435403588819,37.7716339453891,6002308.10030114,2109215.44993143
"35",7353090000654,0,"2nd St at Mission St","0","Not Stated","2/18/2000","09:00 AM","Other","Bicycle","Other Visible Injury",NA,NA,"Other Hazardous Movement","Daylight","1","0","Driver","Bicyclist","East","North","Proceeding Straight","Proceeding Straight",NA,6012718,2114965,NA,NA,NA,NA,6012718,2114965,-122.399798685963,37.7880065881337,6012718,2114965
"36",7355162001365,0,"23rd St at Indiana St","48","West","2/20/2000","04:20 PM","Other","Bicycle","Severe Injury",NA,NA,"Unsafe Speed","Daylight","2","0","Driver","Bicyclist","East","East","Proceeding Straight","Proceeding Straight",NA,6014993.07653,2102972.29055,NA,NA,NA,NA,6014993.07653,2102972.29055,-122.3910886915,37.7552038282409,6014993.07653123,2102972.29054594
"37",7358112500220,0,"2nd St at Market St","81","South","2/23/2000","11:25 AM","Other","Bicycle","Other Visible Injury",NA,NA,"Other Hazardous Movement","Daylight","1","0","Driver","Bicyclist","North","North","Stopped in Road","Proceeding Straight",NA,6012327.8533,2115373.33647,NA,NA,NA,NA,6012327.8533,2115373.33647,-122.401177236831,37.7891060266499,6012327.85329682,2115373.33647441
"38",7358170000153,0,"7th St at Bryant St","0","Not Stated","2/23/2000","05:00 PM","Other","Bicycle","Fatal",NA,NA,"Improper Passing","Daylight","0","1","Bicyclist","Driver","North","North","Proceeding Straight","Making Right Turn",NA,6011186,2109997,NA,NA,NA,NA,6011186,2109997,-122.40474927354,37.7742800976926,6011186,2109997
"39",7360171500336,0,"Stanyan St at Haight St","122","North","2/25/2000","05:15 PM","Other","Bicycle","Complaint of Pain",NA,NA,"Other Improper Driving","Daylight","1","0","Driver","Bicyclist","West","North","Entering Traffic","Proceeding Straight",NA,5997032.29415,2108546.8508,NA,NA,NA,NA,5997032.29415,2108546.8508,-122.453604531234,37.7694971079671,5997032.29415476,2108546.85079534
"40",7360225901077,0,"Mccoppin St at Valencia St","0","Not Stated","2/25/2000","10:59 PM","Other","Bicycle","Other Visible Injury",NA,NA,"Auto R/W Violation","Dark - Street Lights","1","0","Driver","Bicyclist","West","South","Making Left Turn","Proceeding Straight",NA,6006029,2109125,NA,NA,NA,NA,6006029,2109125,-122.42252632893,37.771596206885,6006029,2109125
"41",7361122601804,0,"Geneva Ave at Cayuga Ave","0","Not Stated","2/26/2000","12:26 PM","Other","Bicycle","Complaint of Pain",NA,NA,"Driving Under Influence","Daylight","1","0","Bicyclist","Driver","West","South","Proceeding Straight","Making Left Turn",NA,5999513,2090078,NA,NA,NA,NA,5999513,2090078,-122.443696904589,37.7189279760087,5999513,2090078
"42",7362181001093,0,"Natoma St at 8th St","0","Not Stated","2/27/2000","06:10 PM","Other","Bicycle","Complaint of Pain",NA,NA,"Auto R/W Violation","Dusk - Dawn","1","0","Driver","Bicyclist","East","South","Proceeding Straight","Proceeding Straight",NA,6009063,2110907,NA,NA,NA,NA,6009063,2110907,-122.412157472582,37.7766598545558,6009063,2110907
"43",7363171000868,0,"Harrison St at 9th St","242","East","2/28/2000","05:10 PM","Other","Bicycle","Complaint of Pain",NA,NA,"Following Too Closely","Daylight","1","0","Bicyclist","Bicyclist","Not Stated","Not Stated","Not Stated","Not Stated",NA,6009808.33811,2109556.7943,NA,NA,NA,NA,6009808.33811,2109556.7943,-122.409483803804,37.7729942977594,6009808.33810809,2109556.79429524
"44",7363211300465,0,"Mission St at Allison St","124","North","2/28/2000","09:13 PM","Other","Non-Collision","Other Visible Injury",NA,NA,"Other Than Driver or Ped","Dark - Street Lights","1","0","Bicyclist",NA,"North",NA,"Proceeding Straight",NA,NA,5999888.7388,2088612.11295,NA,NA,NA,NA,5999888.7388,2088612.11295,-122.442292950281,37.7149244056986,5999888.7387954,2088612.11294766
"45",7364165001800,0,"Valencia St at 22nd St","121","North","2/29/2000","04:50 PM","Other","Bicycle","Other Visible Injury",NA,NA,"Other Hazardous Movement","Daylight","1","0","Driver","Bicyclist","South","South","Stopped in Road","Proceeding Straight",NA,6006352.03867,2103301.79959,NA,NA,NA,NA,6006352.03867,2103301.79959,-122.420995393252,37.7556252863609,6006352.03866795,2103301.7995855
"46",7366133100862,0,"15th St at Valencia St","50","East","3/2/2000","01:31 PM","Other","Bicycle","Complaint of Pain",NA,NA,"Improper Passing","Daylight","1","0","Driver","Bicyclist","West","West","Proceeding Straight","Proceeding Straight",NA,6006180.90781,2107284.03493,NA,NA,NA,NA,6006180.90781,2107284.03493,-122.421870077819,37.7665499238564,6006180.90780675,2107284.03493419
"47",7366153502199,0,"Market St at 8th St","25","East","3/2/2000","03:35 PM","Other","Bicycle","Complaint of Pain",NA,NA,"Unsafe Speed","Daylight","1","0","Driver","Bicyclist","East","East","Proceeding Straight","Proceeding Straight",NA,6008350.08576,2111689.25993,NA,NA,NA,NA,6008350.08576,2111689.25993,-122.414679031877,37.7787677267201,6008350.08576336,2111689.25992942
"48",7366163101522,0,"6th St at Folsom St","60","South","3/2/2000","04:31 PM","Other","Bicycle","Other Visible Injury",NA,NA,"Improper Passing","Daylight","1","0","Driver","Bicyclist","South","South","Proceeding Straight","Proceeding Straight",NA,6011008.47943,2111496.6473,NA,NA,NA,NA,6011008.47943,2111496.6473,-122.405468990787,37.7783878579007,6011008.47943438,2111496.64730085
"49",7366175001934,0,"Gough St at Rose St","75","South","3/2/2000","05:50 PM","Other","Bicycle","Other Visible Injury",NA,NA,"Improper Passing","Dusk - Dawn","1","0","Bicyclist","Driver","South","South","Passing Other Vehicle","Stopped in Road",NA,6006114.76309,2109785.5137,NA,NA,NA,NA,6006114.76309,2109785.5137,-122.422276605511,37.7734146568684,6006114.76309357,2109785.51370468
"50",7369055002082,0,"7th St at Folsom St","8","North","3/5/2000","05:50 AM","Other","Bicycle","Other Visible Injury",NA,NA,"Auto R/W Violation","Dark - Street Lights","1","0","Bicyclist","Driver","West","North","Traveling Wrong Way","Proceeding Straight",NA,6010305.46448,2110918.77564,NA,NA,NA,NA,6010305.46448,2110918.77564,-122.407860233956,37.7767618241299,6010305.46448261,2110918.77564258
"51",7370124001054,0,"25th Ave at Geary Blvd","0","Not Stated","3/6/2000","12:40 PM","Other","Bicycle","Complaint of Pain",NA,NA,"Auto R/W Violation","Daylight","1","0","Driver","Bicyclist","East","South","Proceeding Straight","Proceeding Straight",NA,5988119,2112593,NA,NA,NA,NA,5988119,2112593,-122.484731728974,37.7800917077506,5988119,2112593
"52",7370184001563,0,"5th St at Mission St","0","Not Stated","3/6/2000","06:40 PM","Other","Bicycle","Other Visible Injury",NA,NA,"Improper Turning","Dusk - Dawn","1","0","Driver","Bicyclist","South","North","Making Left Turn","Proceeding Straight",NA,6010749,2113084,NA,NA,NA,NA,6010749,2113084,-122.406478513157,37.7827318443794,6010749,2113084
"53",7371131500654,0,"Market St at 2nd St","0","Not Stated","3/7/2000","01:15 PM","Other","Bicycle","Other Visible Injury",NA,NA,"Traffic Signals and Signs","Daylight","1","0","Bicyclist","Driver","North","East","Proceeding Straight","Not Stated",NA,6012272,2115432,NA,NA,NA,NA,6012272,2115432,-122.40137460765,37.7892639867866,6012272,2115432
"54",7373092001573,0,"Oak St at Laguna St","0","Not Stated","3/9/2000","09:20 AM","Other","Bicycle","Other Visible Injury",NA,NA,"Improper Turning","Daylight","1","0","Driver","Bicyclist","East","East","Making Right Turn","Proceeding Straight",NA,6005080,2110238,NA,NA,NA,NA,6005080,2110238,-122.425888215944,37.7745986521349,6005080,2110238
"55",7374140801797,0,"17th St at Hampshire St","24","South","3/10/2000","02:08 PM","Other","Bicycle","Complaint of Pain",NA,NA,"Driving Under Influence","Daylight","1","0","Bicyclist","Driver","West","North","Making Left Turn","Proceeding Straight",NA,6010027.03656,2106430.67582,NA,NA,NA,NA,6010027.03656,2106430.67582,-122.408506738692,37.7644229469985,6010027.03655828,2106430.67581695
"56",7374141000654,0,"1st St at Stevenson St","80","South","3/10/2000","02:10 PM","Other","Bicycle","Other Visible Injury",NA,NA,"Unsafe Lane Change","Daylight","1","0","Driver","Bicyclist","South","South","Proceeding Straight","Changing Lanes",NA,6013141.195,2115834.09049,NA,NA,NA,NA,6013141.195,2115834.09049,-122.39839550123,37.7904164902216,6013141.1950036,2115834.09048802
"57",7375155600080,0,"32nd Ave at Cabrillo St","0","Not Stated","3/11/2000","03:56 PM","Other","Bicycle","Other Visible Injury",NA,NA,"Traffic Signals and Signs","Daylight","3","0","Bicyclist","Bicyclist","South","South","Proceeding Straight","Proceeding Straight",NA,5986023,2110453,NA,NA,NA,NA,5986023,2110453,-122.491825052357,37.7740935849953,5986023,2110453
"58",7378091700778,0,"Post St at Divisadero St","0","Not Stated","3/14/2000","09:17 AM","Other","Bicycle","Other Visible Injury",NA,NA,"Improper Passing","Daylight","1","0","Driver","Bicyclist","East","East","Making Right Turn","Proceeding Straight",NA,6001167,2113859,NA,NA,NA,NA,6001167,2113859,-122.439683674503,37.7843190869079,6001167,2113859
"59",7378142000446,0,"Powell St at Post St","52","South","3/14/2000","02:20 PM","Other","Bicycle","Other Visible Injury",NA,NA,"Other Hazardous Movement","Daylight","1","0","Parked Vehicle","Bicyclist","South","South","Parked","Proceeding Straight",NA,6010241.50567,2115068.40856,NA,NA,NA,NA,6010241.50567,2115068.40856,-122.40837425098,37.7881521540331,6010241.50566502,2115068.40856348
"60",7378143002089,0,"Bay St at Columbus Ave","12","West","3/14/2000","02:30 PM","Other","Bicycle","Complaint of Pain",NA,NA,"Unsafe Lane Change","Daylight","1","0","Driver","Bicyclist","West","West","Changing Lanes","Slowing/Stopping",NA,6007799.12504,2121314.27216,NA,NA,NA,NA,6007799.12504,2121314.27216,-122.417267268546,37.8051646679371,6007799.1250441,2121314.2721625
"61",7379002000968,0,"17th St at Shotwell St","0","Not Stated","3/15/2000","12:20 AM","Other","Bicycle","Complaint of Pain",NA,NA,"Auto R/W Violation","Dark - Street Lights","1","0","Driver","Bicyclist","North","East","Proceeding Straight","Proceeding Straight",NA,6007790,2106189,NA,NA,NA,NA,6007790,2106189,-122.416226933855,37.7636338265028,6007790,2106189
"62",7379150000201,0,"16th St at Potrero Ave","18","West","3/15/2000","03:00 PM","Other","Bicycle","Complaint of Pain",NA,NA,"Improper Turning","Daylight","1","0","Driver","Bicyclist","South","North","Making Right Turn","Making Left Turn",NA,6010300.02696,2106919.01518,NA,NA,NA,NA,6010300.02696,2106919.01518,-122.40759696929,37.7657791002366,6010300.02696126,2106919.01517596
"63",7380084501794,0,"Mariposa St at Arkansas St","98","East","3/16/2000","08:45 AM","Other","Bicycle","Complaint of Pain",NA,NA,"Other Hazardous Movement","Daylight","1","0","Driver","Bicyclist","East","East","Stopped in Road","Proceeding Straight",NA,6012988.84039,2106127.59088,NA,NA,NA,NA,6012988.84039,2106127.59088,-122.398241342599,37.763756167922,6012988.84039077,2106127.59087947
"64",7380124600465,0,"Ofarrell St at Masonic Ave","4","East","3/16/2000","12:46 PM","Other","Bicycle","Complaint of Pain",NA,NA,"Auto R/W Violation","Daylight","1","0","Bicyclist","Driver","North","East","Entering Traffic","Proceeding Straight",NA,5998882.95994,2112723.5647,NA,NA,NA,NA,5998882.95994,2112723.5647,-122.447503864402,37.7810712103113,5998882.95993903,2112723.56469719
"65",7381130001325,0,"18th Ave at Lincoln Way","4","South","3/17/2000","01:00 PM","Other","Bicycle","Other Visible Injury",NA,NA,"Pedestrian Violation","Daylight","1","0","Driver","Bicyclist","North","West","Making Right Turn","Proceeding Straight",NA,5990476.13345,2107224.00223,NA,NA,NA,NA,5990476.13345,2107224.00223,-122.476185154653,37.7654869029547,5990476.13345252,2107224.00222682
"66",7381210000178,0,"Stockton St at Post St","7","East","3/17/2000","09:00 PM","Other","Bicycle","Complaint of Pain",NA,NA,"Ped R/W Violation","Dark - Street Lights","1","0","Bicyclist","Pedestrian","North","Not Stated","Making Left Turn","Not Applicable - Ped",NA,6010707.89839,2115178.05789,NA,NA,NA,NA,6010707.89839,2115178.05789,-122.40676833479,37.7884793314027,6010707.89839073,2115178.0578898
"67",7382133500030,0,"Fillmore St at Green St","0","Not Stated","3/18/2000","01:35 PM","Other","Bicycle","Other Visible Injury",NA,NA,"Traffic Signals and Signs","Daylight","1","0","Bicyclist","Driver","North","West","Proceeding Straight","Proceeding Straight",NA,6002522,2118143,NA,NA,NA,NA,6002522,2118143,-122.435302393612,37.7961588819344,6002522,2118143
"68",7382151801509,0,"17th St at Prosper St","0","Not Stated","3/18/2000","03:18 PM","Other","Bicycle","Complaint of Pain",NA,NA,"Unsafe Speed","Daylight","1","0","Driver","Bicyclist","East","East","Making U Turn","Proceeding Straight",NA,6003356,2105941,NA,NA,NA,NA,6003356,2105941,-122.431545037269,37.7627025587644,6003356,2105941
"69",7382154301797,0,"21st St at Lexington St","0","Not Stated","3/18/2000","03:43 PM","Other","Bicycle","Complaint of Pain",NA,NA,"Improper Turning","Daylight","1","0","Driver","Bicyclist","East","West","Making U Turn","Proceeding Straight",NA,6006552,2103780,NA,NA,NA,NA,6006552,2103780,-122.420337802471,37.7569495838835,6006552,2103780
"70",7382191001184,0,"Stanyan St at Fulton St","169","South","3/18/2000","07:10 PM","Other","Non-Collision","Complaint of Pain",NA,NA,"Other Hazardous Movement","Dark - Street Lights","1","0","Driver","Bicyclist","South","South","Stopped in Road","Proceeding Straight",NA,5996789.24453,2110301.60229,NA,NA,NA,NA,5996789.24453,2110301.60229,-122.454572010095,37.774301264418,5996789.24452987,2110301.60228551
"71",7385133000654,0,"Howard St at 2nd St","7","East","3/21/2000","01:30 PM","Other","Bicycle","Other Visible Injury",NA,NA,"Auto R/W Violation","Daylight","1","0","Bicyclist","Driver","North","West","Entering Traffic","Proceeding Straight",NA,6013159.05392,2114513.84334,NA,NA,NA,NA,6013159.05392,2114513.84334,-122.398241042006,37.7867923947569,6013159.05391744,2114513.84333754
